الخدمه ,تاريخ الاطلاق 
 إطلاق تحسين خدمة الروضة الشريفة ,يناير
إطلاق خدمة المسار الفوري للروضة,يناير
إطلاق خدمة تخصيص أدعية الروضة,يناير
إطلاق خدمة حجز الطيران,يناير
إطلاق خدمة حجز الفنادق والشقق,يناير
إطلاق خدمة قطار الحرمين,يناير
إطلاق خدمات التنقل,يناير
إطلاق سوق نسك، شراء منتجات وشحنها لعنوان المستخدم,يناير
إطلاق حجز ودفع البرامج السياحية,يناير
إطلاق حجز ودفع المرشد السياحي,يناير
إطلاق هوية نسك,يناير
إطلاق زاد,يناير
إطلاق بث مباشر للحرمين,يناير
إطلاق طباعة الشهادة - تطبيق,يناير
إطلاق طباعة الشهادة - بورتال,يناير
تطوير نظام التوزيع المالي  للمبالغ  حسب العقود مع مزودي الخدمات ,مارس
تطوير و دمج  خدمات تأكيد تصاريح الروضة في تطبيق توكلنا ,مارس
إضافة خدمة البث المباشر للحرمين في تطبيق توكلنا ,مارس
إطلاق خدمة الحلاق,مارس
"إطلاق حج الداخل إستعراض و شراء الباقات (تخصيص الطيران للباقة, الدفع من خلال سداد او محفضة نسك)",مارس
إطلاق خدمة بيع عبوات زمزم عبر تطبيق نسك,مايو- يونيو
نقل وتشغيل منصة نسك,مايو- يونيو
Nusuk.sa,-
من هيئة السياحة إلى مركز معلومات الحج والعمرة ,-
"إطلاق خدمة شراء,تفعيل وتثبيت الشرائح المدمجة بشكل مؤتمت عبر تطبيق نسك",مايو- يونيو
إطلاق خدمة رحلة الحج ,مايو- يونيو
إطلاق خدمة خريطة نسك,مايو- يونيو
إطلاق خدمة الترجمة الفورية ,مايو- يونيو
إطلاق خدمة أنا ضائع والإبلاغ عن ضائع,مايو- يونيو
إطلاق خدمة المفقودين والمفقودات,مايو- يونيو
إطلاق خدمة الطوارئ SOS,مايو- يونيو
إطلاق خدمة القياس,مايو- يونيو
إطلاق التنبيهات والاشعارات,مايو- يونيو
إطلاق جداول التفويج,مايو- يونيو
إطلاق بث خطبة عرفة ,مايو- يونيو
إطلاق كود نسك,مايو- يونيو
إطلاق فقة وفتاوى الحج,مايو- يونيو
إطلاق جداول التفويج,مايو- يونيو
إطلاق تحسينات على خدمة زمزم,أغسطس
إطلاق منصة نسك Nusuk.sa بالهوية الجديدة لنسك,أغسطس
إطلاق خدمة الرحلة Journey محتوى تعريفي استكشف مكة المكرمه ,نوفمبر
إطلاق خدمة الرحلة Journey محتوى تعريفي استكشف المدينة ,نوفمبر
